Dre-Mir-181-P2b2,Clupeocephala
Dre-Mir-430-o3b2,D. rerio
Dre-Mir-30-P2d,Gnathostomata
Dre-Mir-194-P2a,Clupeocephala
Dre-Mir-19-P1a2,Clupeocephala
Dre-Mir-338-P1,Vertebrata
Dre-Mir-199-P1a-v2,Clupeocephala
Dre-Mir-430-o1b2,D. rerio
Dre-Mir-101-P1-v2,Vertebrata
Dre-Mir-199-P3-v1,Gnathostomata
Dre-Mir-24-P2a,Clupeocephala
Dre-Mir-430-o1d1,D. rerio
Dre-Mir-204-P1a,Clupeocephala
Dre-Mir-27-P1,Gnathostomata
Dre-Mir-430-o1e2,D. rerio
Dre-Mir-17-P2a2,Clupeocephala
Dre-Mir-430-o2a7,D. rerio
Dre-Mir-142-P2-v2,Gnathostomata
Dre-Mir-430-o2b,D. rerio
Dre-Mir-146-P4-v2,Gnathostomata
Dre-Mir-430-o3a3,D. rerio
Dre-Mir-130-P3b1,Clupeocephala
Dre-Mir-181-P1a1,Clupeocephala
Dre-Mir-430-o3a11,D. rerio
Dre-Mir-181-P2c1,Clupeocephala
Dre-Mir-451,Vertebrata
Dre-Mir-430-o1e3,D. rerio
Dre-Mir-192-P2b,Clupeocephala
Dre-Mir-194-P2b,Clupeocephala
Dre-Mir-19-P2a1,Clupeocephala
Dre-Mir-338-P2a,Clupeocephala
Dre-Mir-199-P1a-v3,Clupeocephala
Dre-Mir-430-o1b3,D. rerio
Dre-Mir-101-P2-v1,Vertebrata
Dre-Mir-199-P3-v2,Gnathostomata
Dre-Mir-24-P2b,Clupeocephala
Dre-Mir-430-o1d2,D. rerio
Dre-Mir-204-P1b,Clupeocephala
Dre-Mir-27-P2a,Clupeocephala
Dre-Mir-126-P2b-v3,Clupeocephala
Dre-Mir-15-P2b,Gnathostomata
Dre-Mir-196-P1a,Clupeocephala
Dre-Mir-15-P2c-v1,Gnathostomata
Dre-Mir-196-P1b,Clupeocephala
Dre-Mir-15-P1a1,Clupeocephala
Dre-Mir-15-P2c-v2,Gnathostomata
Dre-Mir-126-P2a-v1,Clupeocephala
Dre-Mir-196-P3a,Clupeocephala
Dre-Mir-15-P1a2,Clupeocephala
Dre-Mir-15-P2d,Gnathostomata
Dre-Mir-126-P2a-v2,Clupeocephala
Dre-Mir-196-P4a,Clupeocephala
Dre-Mir-15-P1b,Gnathostomata
Dre-Mir-126-P2a-v3,Clupeocephala
Dre-Mir-196-P4b,Clupeocephala
Dre-Mir-15-P1d,Gnathostomata
Dre-Mir-126-P2b-v1,Clupeocephala
Dre-Mir-15-P2a1,Clupeocephala
Dre-Mir-126-P2b-v2,Clupeocephala
Dre-Mir-15-P2a2,Clupeocephala
Dre-Mir-135-P4b,Clupeocephala
Dre-Mir-217-v1,Chordata
Dre-Mir-217-v2,Chordata
Dre-Mir-129-P1a,Clupeocephala
Dre-Mir-129-P1b,Clupeocephala
Dre-Mir-135-P1,Gnathostomata
Dre-Mir-129-P2a,Clupeocephala
Dre-Mir-135-P2a,Clupeocephala
Dre-Mir-129-P2b,Clupeocephala
Dre-Mir-135-P4a,Clupeocephala
Dre-Mir-103-P1a,Clupeocephala
Dre-Mir-103-P1b,Clupeocephala
Dre-Mir-103-P2a,Clupeocephala
Dre-Mir-103-P2b,Clupeocephala
Dre-Mir-9-P1b,Clupeocephala
Dre-Let-7-P1d2,Clupeocephala
Dre-Let-7-P2b1a,Clupeocephala
Dre-Mir-1-P1,Gnathostomata
Dre-Mir-133-P2a-v2,Clupeocephala
Dre-Mir-7-P4b,Clupeocephala
Dre-Mir-124-P4-v1,Gnathostomata
Dre-Mir-193-P1a,Vertebrata
Dre-Mir-219-P3a,Clupeocephala
Dre-Mir-33-P1a,Clupeocephala
Dre-Mir-92-P2d,Gnathostomata
Dre-Mir-124-P1b-v1,Clupeocephala
Dre-Mir-9-P2a,Clupeocephala
Dre-Let-7-P2a1a,Clupeocephala
Dre-Let-7-P2b2a,Clupeocephala
Dre-Mir-1-P2a,Clupeocephala
Dre-Mir-133-P2b-v1,Clupeocephala
Dre-Mir-184-P1,Clupeocephala
Dre-Mir-8-P1a,Vertebrata
Dre-Mir-137-P1a-v1,Clupeocephala
